Title,Content,Number of Words,Category,Date Published,Link
"Sudan fighting: Civilians in untenable situation, Red Cross says"," People are making desperate attempts to flee Sudan after more than a week of fighting there, the Red Cross says. The situation was now ""untenable"" for civilians left without food or water, and some hospitals had stopped working, spokeswoman Alyona Synenko said. Convoys leaving the capital Khartoum had encountered robbery and looting, US Secretary of State Antony Blinken said. People getting out of Khartoum spoke of corpses left lying on the street. ""We saw bodies everywhere - there's no security whatsoever so nobody dares go collect them - but there's utter destruction too. Everything is just devastated,"" Italian NGO boss Stefano Rebora told the BBC. South African diplomat Clayson Monyela said all routes out of Khartoum - a city of six million people - were ""risky and dangerous"". ""The airport remains closed, the fighting continues,"" he told the BBC. He reiterated a call for a ceasefire to allow people to leave, and aid to enter. Sudan was suffering an ""internet blackout"" with connectivity at 2% of ordinary levels, monitoring group NetBlocks said on Monday. In Khartoum, the internet has been down since Sunday night. Meanwhile, water and electricity have been restored to some parts of the capital, but not all of them. One Nigerian student told the BBC: ""The taps are outside in the street and that's the scary part - sometimes we are going out to get water but there is shooting or explosions going on, so we just have to run there and get the water and come back."" Numerous countries have evacuated their civilians - and thousands of other people have made risky escapes. Many of those who have left Khartoum have headed to other parts of the country where they have family ties - leaving parts of the city centre completely deserted. Others have gone north to Egypt by bus, or headed south. Officials in neighbouring South Sudan said the roughly 10,000 refugees who had arrived in recent days came from Eritrea, Kenya and Uganda - as well as from Sudan and South Sudan themselves. Multiple countries have stepped up efforts to evacuate diplomats and civilians from Khartoum. By Monday about 1,100 European Union citizens had been taken out of Sudan, an EU diplomatic source told the BBC. The bloc believed about 1,700 EU citizens had been in Sudan when the fighting began. The US said it had airlifted fewer than 100 people by helicopter on Sunday in a ""fast and clean"" operation. The American embassy in Khartoum is now closed, and a tweet on its official feed says it is not safe for the government to evacuate private US citizens. The UK government airlifted British diplomats and their families out of the country. Foreign Minister James Cleverly said options to evacuate remaining Britons were ""severely limited"". Canada has evacuated its diplomatic staff. Turkey - a key player in Sudan - began evacuation efforts by road from the southern city of Wad Medani on Sunday, but plans from one site in Khartoum were postponed after a nearby explosion. More than 150 people - mostly citizens of Gulf countries, as well as Egypt, Pakistan and Canada - were evacuated by sea to Saudi Arabia. Long lines of UN vehicles and buses were seen leaving Khartoum on Sunday, heading east towards Port Sudan on the Red Sea and carrying ""citizens from all over the world"", a Sierra Leonean evacuee told AFP news agency. However many foreign students from Africa, Asia and the Middle East are among the foreigners still trapped in Khartoum. The western region of Darfur - where the RSF first emerged - has also been badly affected by the fighting. The UN has warned that up to 20,000 people - mostly women and children - have fled Sudan to seek safety in Chad, across the border from Darfur. However in other parts of the country, some semblance of normalcy has emerged. In Omdurman, across the Nile from Khartoum, there has been less gunfire and explosions than in previous days, possibly to allow civilians to leave. Heavy fighting outside the army headquarters has stopped. As a result, for the first time since hostilities broke out more than a week ago, women and children have been out on the streets, visiting neighbours and going to markets, which still have some basic supplies such as oil and wheat. There are long queues outside the few bakeries that remain open. More than 400 people have died in the conflict, and thousands have been injured, according to the latest tally from the World Health Organization. But it is feared the true toll is much higher. Several ceasefires that seemed to have been agreed were subsequently ignored - including a three-day pause to mark the Muslim holiday of Eid al-Fitr, which started on Friday. The UN's World Food Programme says the fighting could plunge millions more Sudanese into hunger in a country where a third of the population already struggles to get enough to eat. ",823,world,2023-04-24T15:22:49.000Z,https://www.bbc.com/news/world-africa-65373644
Jerusalem: Five injured in Palestinian car ramming attack," Five people have been injured in a car-ramming attack by a Palestinian in central Jerusalem, Israeli police say. The vehicle hit pedestrians near the busy Machane Yehuda market. The attacker was shot and killed at the scene by a civilian. Police say the assailant was a 39-year-old man from occupied East Jerusalem. It came as Israel began to mark Memorial Day for fallen soldiers and victims of attacks - one of the most solemn days in the national calendar. Speaking at a Memorial Day event, Israeli Prime Minister Benjamin Netanyahu said the attack was ""another attempt to murder Israeli citizens"". ""These terrorist attacks come with the expectation that they will overcome us and will uproot us from here, and if they could, they would murder us all. But they will not overcome us; we will overcome them."" Footage from the scene just moments after the incident shows a dark-coloured Chevrolet hatchback, its front crumpled and windscreen cracked, at a standstill on a zebra crossing between Kiah Street and Agrippas Street. A man in a dark blue T-shirt and black jeans is seen slumped over the bonnet, not moving, as police and civilians mill around. Israel was on heightened alert ahead of Memorial Day, which commemorates soldiers and civilians who have been killed in conflict and attacks since 1860. The sombre occasion leads into Independence Day on Tuesday night and Wednesday. The day is celebrated with patriotic events, with this year marking Israel's 75th anniversary. Palestinians, however, consider Israel's formation in 1948 as a catastrophe which led to the displacement of up to 750,000 of their people in the Arab-Israeli war that followed. Monday's attack comes amid a surge in Israeli-Palestinian violence this year. In the early hours of Monday, a 20-year-old Palestinian was shot and killed during an Israeli army arrest raid in a refugee camp near the city of Jericho, in the occupied West Bank, the Palestinian health ministry said. Since the start of this year, more than 90 Palestinians - militants and civilians - have been killed by Israeli forces. Eighteen Israelis, a Ukrainian and an Italian - all civilians, except for an Israeli paramilitary police officer - have been also killed in attacks by (or suspected to have been carried out by) Palestinians and, in one case, an Israeli Arab. ",383,world,2023-04-24T16:27:14.000Z,https://www.bbc.com/news/world-middle-east-65374749
Sebastien Bellin: Brussels bomb survivor on Ironman feat and forgiveness, ,383,,2023-04-24T16:27:14.000Z,https://www.bbc.com/sport/triathlon/65351405
Disneyland fire-breathing dragon engulfed by flames, ,383,world,2023-04-24T16:27:14.000Z,https://www.bbc.com/news/world-us-canada-65370124
James Cleverly: British diplomats evacuated after specific threats in Sudan, ,383,uk,2023-04-24T16:27:14.000Z,https://www.bbc.com/news/uk-65364960
Ryan Reynolds gatecrashes post-match presser for player's shirt, ,383,uk,2023-04-24T16:27:14.000Z,https://www.bbc.com/news/uk-wales-65364704
Dame Edna's funniest moments in 80 seconds, ,383,entertainment,2023-04-24T16:27:14.000Z,https://www.bbc.com/news/entertainment-arts-65358301
Eid al-Fitr: UAE astronaut sends Eid greeting from space, ,383,,2023-04-24T16:27:14.000Z,https://www.bbc.com/news/65356486
ChatGPT: How generative AI could change hiring as we know it, ,383,20230419,2023-04-24T16:27:14.000Z,https://www.bbc.com/worklife/article/20230419-chatgpt-how-generative-ai-could-change-hiring-as-we-know-it
"Rio de Janeiro: The ""Marvellous City"" welcomes digital nomads", ,383,20230424,2023-04-24T16:27:14.000Z,https://www.bbc.com/travel/article/20230424-why-rio-is-luring-digital-nomads
