Title,Content,Number of Words,Category,Date Published,Link
Tucker Carlson leaves Fox News," Tucker Carlson, the highest-rated cable TV host credited with setting the agenda for US conservatives, has left Fox News, the network announced. In a statement, Fox News said it and Carlson had agreed to ""part ways"". His last TV programme was Friday 21 April, the statement added. His primetime slot will now be hosted by a series of interim hosts until a permanent replacement is found. The brief two-paragraph statement gave no reason for the abrupt decision. The Los Angeles Times, citing unnamed people familiar with the situation, reports that the decision to fire Carlson came from the top, including Fox chairman Rupert Murdoch and his son Lachlan. The 53-year-old was not just a popular presenter, but also a hugely influential one. His shows frequently set the agenda for conservatives and, by extension, the Republican party. His programme offered a blend of populist conservative takes on issues ranging from immigration, crime, race, gender and sexuality, with ""woke"" ideology becoming a frequent target. It made up four of the top 10 rated programmes on US cable TV, according to Nielsen data for the week 27 March to 2 April. He was Fox News' top-rated host, with more than three million viewers tuning in on an average night. While Carlson often publicly agreed with Donald Trump, whose politics have transformed the Republican party in recent years, he would occasionally diverge from the former president's political views. Fox News' competitors were quick to capitalise on Carlson's departure. One rival network, Newsmax, said it had successfully attracted viewers from Fox News in recent months and Carlson's departure would ""only fuel that trend"". The announcement of Carlson's departure comes just days after Fox News settled a defamation lawsuit from the voting machine company Dominion over the cable network's coverage of the 2020 presidential election. In the lawsuit, Dominion argued that its business was harmed by Fox spreading false claims that its machines were rigged against Mr Trump. The case prompted disclosures of text messages that showed Carlson's private views often contrasted with his on-air output. His show, which aired in the coveted 20:00 to 21:00 EST slot, was cited in court documents by Dominion's attorneys in their claim some of its output was defamatory. Additionally, Fox News is also facing a lawsuit filed in March by former guest booker Abby Grossberg in which she accused Carlson of ""vile sexist stereotypes"". Fox News has counter-sued and said it would ""vigorously defend these claims"". Carlson's latest interview with Mr Trump came two weeks ago, despite disclosures in the Dominion case showing he had privately said of the ex-president: ""I hate him passionately."" He also interviewed Twitter CEO Elon Musk during what would become his final week on Fox News. His departure appears to have been sudden and came without the usual farewell that might be expected from a long-serving presenter. A video shared on Twitter by journalist Aaron Rupar showed Carlson ending his show on Friday with the words ""we'll be back on Monday"". On air on Monday morning, a Fox News anchor announced the departure with a tribute that thanked Carlson ""for his service to the network"". Stepping in for the primetime slot that night, guest host Brian Kilmeade briefly remarked on his colleague's departure. He told viewers: ""As you probably have heard, Fox News and Tucker Carlson have agreed to part ways. I wish Tucker the best. I'm great friends with Tucker and always will be."" Carlson first joined Fox as a contributor in 2009 before becoming a co-host of the Fox and Friends Weekend show between 2012-16. He began hosting the Tucker Carlson Show in 2016. Before his Fox career began, Carlson also hosted shows on CNN and MSNBC and co-founded the Daily Caller website. His tenure at CNN ended in 2005, just months after a heated on-air exchange with Daily Show host Jon Stewart. Fox Corporation, the Murdoch-controlled company that owns Fox News, saw its share price drop more than 3% in New York after the announcement. That is comparable to the initial reaction when the company announced it would pay $787m (£631m) to settle the defamation suit brought by Dominion, though the shares in that case quickly recovered. One way that Carlson's departure could affect Fox News financially is in its forthcoming negotiations with cable networks over lucrative so-called carriage fees - paid to Fox by cable firms for carrying its network. These fees are critical to the company's bottom line and it now enters negotiations with a vacancy in its most prominent time slot. Another cable TV host, CNN's Don Lemon, announced on Monday that he had been ""terminated"" by CNN after 17 years, just hours after appearing on its recently re-launched morning show. The embattled host had come under intense public criticism earlier this year for disparaging remarks about Republican presidential hopeful Nikki Haley. Additional reporting by Natalie Sherman and Michelle Fluery in New York ",815,world,2023-04-25T03:17:37.000Z,https://www.bbc.com/news/world-us-canada-65379340
Sudan crisis: Warring sides agree to ceasefire," US Secretary of State Antony Blinken says warring parties in Sudan have agreed to a 72-hour ceasefire from midnight (22:00 GMT) on Monday. It is at least the third ceasefire to be announced since violence erupted this month but none have held. Mr Blinken said an agreement had been reached between the army and the paramilitary Rapid Support Forces (RSF) after 48 hours of negotiations. At least 400 people have been killed since fighting erupted on 15 April. Both sides independently announced their involvement in the ceasefire. UN Secretary General António Guterres has warned the violence in Sudan risks causing a ""catastrophic conflagration"" that could engulf the whole region and beyond. Since the violence began, residents of the battle-scarred capital Khartoum have been told to stay inside, and food and water supplies have been running low. The bombing has hit key infrastructure, like water pipes, meaning that some people have been forced to drink from the River Nile. There will be hopes the ceasefire will allow civilians to leave the city. Foreign governments will also hope it will allow for continued evacuations out of the country. Countries have scrambled to evacuate their diplomats and civilians as fighting raged in central, densely populated parts of the capital. Earlier on Monday, Mr Blinken said that some convoys trying to move people out had encountered ""robbery and looting"". The US, he added, was looking at potentially resuming its diplomatic presence in Sudan but he described the conditions there as ""very challenging"". Sudan is suffering an ""internet blackout"" with connectivity at 2% of ordinary levels, monitoring group NetBlocks said on Monday. In Khartoum, the internet has been down since Sunday night. It is estimated that tens of thousands of people, including Sudanese citizens and those from neighbouring countries, have fled because of the unrest. Hassan Ibrahim, 91, was among them. The retired physician lives near the main airport in Khartoum, where some of the worst fighting has taken place, but has since made the perilous journey into neighbouring Egypt with his family. He told the BBC World Service's Newshour programme they had escaped being caught up in a firefight between RSF fighters and the army but that a van travelling behind them had got hit. The family then boarded a bus to the border, which took 12 hours, only for them to be met by ""crowded and chaotic"" scenes as people waited to be given entry. ""There were so many families with elderly passengers, children and babies,"" said Mr Ibrahim. ""The Sudanese are fleeing the country - it is a sad reality."" Eiman ab Garga, a British-Sudanese gynaecologist who works in the UK, was visiting the capital with her children when the fighting began and has just been evacuated to Djibouti on a flight organised by France. Her hurried departure meant that she was not able to say goodbye to her ailing father, nor her mother and sister. 'The country is dirty, there's rubbish all over it,"" she told BBC Radio 4's World Tonight programme. ""There's sewage overflowing it smells so now we're next going to have an outbreak of illness and disease and there won't be a hospital to go to there."" ""We're just looking at death and destruction and destitution."" Violence broke out primarily in Khartoum, between rival military factions battling for control of Africa's third largest country. This came after days of tension as members of the RSF were redeployed around the country in a move that the army saw as a threat. Since a 2021 coup, Sudan has been run by a council of generals, led by the two military men at the centre of this dispute - Gen Abdel Fattah al-Burhan, the head of the armed forces and in effect the country's president, and his deputy and leader of the RSF, Gen Mohamed Hamdan Dagalo, better known as Hemedti. They have disagreed on the direction the country is going in and the proposed move towards civilian rule. The main sticking points are plans to include the 100,000-strong RSF into the army, and who would then lead the new force. Gen Dagalo has accused Gen Burhan's government of being ""radical Islamists"" and that he and the RSF were ""fighting for the people of Sudan to ensure the democratic progress for which they have so long yearned"". Many find this message hard to believe, given the brutal track record of the RSF. Gen Burhan has said he supports the idea of returning to civilian rule, but that he will only hand over power to an elected government. ",756,world,2023-04-25T03:10:34.000Z,https://www.bbc.com/news/world-africa-65380154
"'You'll never catch me lying,' Tucker Carlson said", ,756,world,2023-04-25T03:10:34.000Z,https://www.bbc.com/news/world-us-canada-65382129
Trump faces civil trial for E Jean Carroll rape allegation," Former President Donald Trump is facing a civil trial over an allegation that he raped an advice columnist nearly three decades ago. Jury selection is due to begin on Tuesday in a New York federal court. Mr Trump has denied E Jean Carroll's accusation that he attacked her in a Manhattan department store. He has said she made up the claim for publicity. Though this is not a criminal case, the consequences for Mr Trump could nevertheless be serious. If Ms Carroll wins the lawsuit, it would be the first time the former president - who has been the subject of more than two dozen such allegations - would be found legally responsible for a sexual assault. Mr Trump is facing a wave of other legal troubles, including more than two dozen felony counts over payment of hush money to an adult film actress and an investigation into his alleged role in the US Capitol riot on 6 January 2021. Mr Trump is also juggling his ongoing bid for the White House next year. Here's what to expect at the trial. Ms Carroll, 79, says the attack occurred at a Bergdorf Goodman store in Manhattan in late 1995 or early 1996. The pair had bumped into each other while shopping, she said. Mr Trump then allegedly asked her for advice when buying lingerie for another woman and jokingly asked her to model it for him. But once in the changing rooms, Ms Carroll said the real estate tycoon lunged at her, pinned her against a wall and assaulted her. Ms Carroll, whose ""Ask E. Jean"" advice column has appeared in Elle magazine since 1993, claims she managed to push him off after a ""colossal struggle"". She did not report the alleged encounter to police, her complaint said, because she ""was in shock and did not wish to think of herself as a rape victim"". Two of Ms Carroll's friends, Carol Martin and Lisa Birnbach, have said the writer told them about the alleged incident within days. Ms Martin and Ms Birchbach are on the list of witnesses that Ms Carroll may call to testify. Mr Trump has issued multiple denials in the years since Ms Carroll came forward with her allegations in 2019. He has described her claims as a ""complete con job"" on his social media platform Truth Social, saying the alleged rape ""never happened"". And during an October deposition for the case, Mr Trump repeated his denials, adding that his accuser is ""not my type"". It is so far unclear if Mr Trump will make an appearance during the trial, which is expected to last up to two weeks. He is not required to attend and Ms Carroll's lawyers have said they do not plan to call him as a witness. Lawyers for the accuser plan to play to jurors a recording, known as the Access Hollywood tape, in which Mr Trump is heard boasting about grabbing women's genitals. Lawyers for Ms Carroll also plan to call other women who say they were attacked by Mr Trump to testify at the trial. The criminal statute of limitations for this case has long expired. And typically, the statute of limitations for people to bring civil lawsuits over sexual assault in New York is three years, meaning it too has long lapsed. But in 2022, New York passed the Adult Survivors Act, which allowed a one-year period for victims to file sexual assault lawsuits in the state over claims that would have otherwise exceeded statute limitations. Ms Carroll filed her lawsuit against Mr Trump almost immediately after the law took effect. Before this case, the writer had also sued Mr Trump for defamation after he called her a liar following the publication of her memoir. That lawsuit is currently stalled as courts debate whether there is a legal right to sue ex-presidents. Reid Hoffman, co-founder of LinkedIn and a Democratic donor, has helped pay Ms Carroll's legal bills, according to court filings. Mr Trump's lawyers tried to delay the trial after they learned of Mr Hoffman's role, saying it raised questions about Ms Carroll's motives. The judge dismissed this motion, but allowed lawyers to ask Ms Carroll about the financing. In a statement, Mr Hoffman defended his support of Ms Carroll, saying he had ""never taken any steps to hide the financial support that I have provided to this lawsuit after it started"". ""Our courts are a mechanism of justice for all citizens, not just those with enough money and power to rig the game in their favour,"" he said. ",760,world,2023-04-25T01:44:18.000Z,https://www.bbc.com/news/world-us-canada-65381515
Sudan fighting: On a bus to Egypt with Mario the pug," Noon Abdelbassit Ibrahim, a 21-year-old medical student, and her family are among thousands to have fled Sudan - they are now safe in the Egyptian capital Cairo after a dangerous two-day journey. They crowded into a packed bus which left Khartoum in the early hours of 20 April, travelling with friends and neighbours who spent $5,000 (£4,000) hiring the vehicle. Noon's pug, Mario, was also with them. But for the first few days of the rapidly escalating conflict Noon's family hesitated to make a move. ""We thought the borders with neighbouring countries would be closed, and we could get stuck somewhere,"" she has told the BBC. Everything changed on 18 April when her family home was hit by a missile. Noon lives in Burri, the same Khartoum district where the army headquarters is located. ""Everybody just hid in my grandma's room, so scared that we wouldn't be that lucky again,"" she says. ""We all knew we couldn't stay after that."" Houses and businesses on Noon's street have been hit by stray bullets. One of her mother's acquaintances was gunned down. There has also been widespread disruption to the power and water network, as well as a shortage of food. The bus was expensive - but worth every dollar. ""That was all the money we had with us but we were actually lucky,"" says Noon. ""A friend of mine had arranged to hire a bus for $8,000, but at the last minute the owner doubled the price."" She is now staying at a relative's apartment in the Egyptian capital and is coming to terms with the anxiety that marked the trip, fuelled by seeing destroyed tanks and dead bodies on the streets of Khartoum. Thanks to the presence of several children and elderly people on the bus, they navigated army and paramilitary checkpoints around the capital without any problems. ""I am just so relieved we have managed to flee. I never thought we were going to make it,"" Noon admits. Her fears were increased by a scare right at the start of the trip. Her family was preparing to drive to a location where the bus was waiting when a rocket hit a building in a neighbouring street. ""We ran back inside, fearing for our lives. But a few minutes later we made the decision to just get on with the journey."" At the Egyptian border, one of Noon's brothers and two uncles had to stay behind to try and arrange a visa. Sudanese women, children and people over 50 do not need a visa to enter Egypt. When the fighting erupted, Noon had already started her last year in medical school. She hopes to resume her studies at some point and qualify as a doctor. For now, she just wants her country to return to some kind of normality. ""The situation back home is chaotic. People are running out of everything,"" she says. Noon also has a message for the two military leaders driving this confrontation. ""They've killed enough innocent lives. There are other ways to solve the issues between them and they should put an immediate stop to this war."" ",521,world,2023-04-25T00:18:47.000Z,https://www.bbc.com/news/world-africa-65381618
Haiti crisis: Mob burns suspected gang members to death," A group of 13 suspected gang members has been beaten and burned to death by a mob in Haiti's capital after being seized while police were searching their vehicle. The suspects were reportedly beaten with gasoline-soaked tyres before being set alight in Port-au-Prince on Monday. Police say they confiscated weapons from them just before the incident. They have not explained how members of the public got hold of the suspects. Haiti has descended into increasing lawlessness since the assassination of President Jovenel Moïse in July 2021. The United Nations said in a report published on Monday that insecurity in the capital has reached levels similar to countries at war. Armed gangs continue to compete to expand their territorial control and that clashes with police and rival gangs have ""become more violent and more frequent,"" claiming many civilian lives, it added. Gang violence led to the death of nearly 70 people, including 18 women and two children, between 14 and 19 April alone, according to the UN. Many schools and health centres have been forced to close and the violence has also affected access to many goods and services. ""The people of Haiti continue to suffer one of the worst human rights crises in decades and a major humanitarian emergency,"" the report reads. Since Moïse's assassination, the Caribbean nation has been led by Prime Minister Ariel Henry, who has failed to rein in the gangs that now control an estimated 60% of the capital. Mr Henry and UN officials have repeatedly called for the deployment of an international force to help police in their fight against the criminal gangs. So far, no country has offered to lead such a force. The United States has been trying to convince Canada to take on the role but Prime Minister Justin Trudeau has so far resisted. Mr Henry has said it is key to providing security so that long-postponed elections can be held. ",319,world,2023-04-24T23:53:02.000Z,https://www.bbc.com/news/world-latin-america-65381624
Facebook work filtering posts 'cost me my humanity'," Readers may find material in this article disturbing. Behind the scenes on Facebook, thousands of moderators protect users from graphic content by filtering out posts that break its rules. The BBC has spoken to one moderator based in Kenya, who is taking legal action against its parent company Meta. On his first day of work screening posts, South African Trevin Brownie watched a man take his own life. ""The problem was not [the taking of his own life]. The problem was the three-year-old boy that was in the video with this guy. So the boy was playing on the floor with these toys, like not even understanding what's happening"". It took two or three minutes for the child to realise something was wrong and to call out for his dad. He then started crying. Eventually an adult entered the room, and the recording was stopped. ""I felt sick. I, you know, I was vomiting because I didn't understand why people would even do things like that,"" Mr Brownie said. In the course of his work, Mr Brownie would see the worst of humanity - from child abuse to torture and suicide bombings. His experience, he believes, deadened his feelings. The tremor in his voice and his sympathy suggests he still cares deeply about others, but Mr Brownie believes part of his humanity is gone. ""Because I'm basically so much used to death and seeing death. It became a norm for me,"" he says. Deaths no longer affect him as he feels they should. Mr Brownie sees those who work in moderation as a front line of defence protecting users, especially during the pandemic, when many relied on the internet. The way Facebook connects people around the world also appeals to him. In January, Facebook's main moderation hub for east Africa, Sama, announced it would stop providing content-review services to social media firms. Last month Sama laid off 260 moderators, including Mr Brownie, as it concentrated on work annotating videos to help train artificial intelligence computer vision systems. ""I sacrificed my human side for this job. I don't think you can give any more than your soul, and then to be kicked out like this,"" Mr Brownie said. He is concerned about the future, as he and his fiancée hoped to get married, and his family in South Africa rely upon money he sends them. Mr Brownie says he would have not taken the job if he had known what it involved, but feels it is important work he is good at, and where he earned promotion to a more senior role. He wants his employment to continue, but with more support for his mental health. He is one of a group of 184 moderators, supported by the campaign group Foxglove, who are taking legal action against Meta, Facebook's parent company, Sama, and Meta's new contractor, Luxembourg-based firm Majorel. Meta has sought to extricate itself from the action, but a ruling on Thursday now means it can be sued for unfair termination. Cori Crider, a director at Foxglove, called the decision ""a milestone"" and said that ""no tech giant, however wealthy, should be above the law"". An interim ruling against Meta and Sama already means the moderators contracts cannot be terminated and they must still be paid until the case is decided. The moderators say they were laid-off in retaliation for complaints about working conditions and attempts to form a union. They also allege they were unfairly discriminated against and refused work at Majorel ""on the basis that they previously worked at the [Sama] facility"", the petition to the court states. Text messages shared with the moderators' legal team, and seen by the BBC, show moderators interested in applying for a job at Majorel were told by a third-party recruiter that: ""The company will not accept candidates from Sama. It's a strict no."" Meta has declined to comment, citing continuing legal action. But the company requires its contractors to provide round-the-clock on-site support with trained practitioners, and access to private healthcare from the first day of employment. Majorel declined to comment while legal action was continuing. A Sama spokesperson told the BBC that it paid moderators fair, local living wages that were among the top 12 paying jobs in Kenya. It said it provided ""extensive mental health services, including on-site licenced and trained mental health professionals, a 24-hour hotline and virtual consultations. In addition, employees are free to see a mental health professional of their choosing using the healthcare benefits"". Its wellbeing service will continue for 12 months after the last day of employment. Sama said accusations against the firm have proved to be untrue, which was why ""former moderators are suing to keep their jobs - other companies offer a fraction of the pay and benefits compared to Sama"". The BBC has also seen emails sent to Sama from a small number of moderators, expressing their frustration that the injunction means the company cannot pay termination benefits such as free flights to home countries. Two emails praise working conditions at Sama, and one person voices their unhappiness at the court action. In February, a Kenyan court ruled that Meta could be sued by ex-moderator Daniel Motaung over claims of poor working conditions. Meta also faces legal action in Nairobi concerning allegations its algorithm helped fuel the viral spread on social media of hate and violence during Ethiopia's civil war. If you are having thoughts of suicide, or know someone who might be, you can find support lines via Befrienders Worldwide. In the UK, you can call the Samaritans help-line on 116 123 or visit samaritans.org. ",935,technology,2023-04-24T23:42:11.000Z,https://www.bbc.com/news/technology-65346062
"Don Lemon, CNN anchor, fired after 17 years on the network"," CNN anchor Don Lemon has hit out at the network after his firing, which came after accusations of misogyny and misbehaviour. ""I am stunned,"" Lemon wrote on Twitter, saying he was told by his agent he had been let go. CNN said it ""parted ways"" with Lemon, who co-hosted its morning show, saying ""we wish him well"". It follows on-air remarks by Lemon in which he said Republican Nikki Haley, 51, was not ""in her prime"". The dismissal also comes on the heels of another major US media departure. Just moments before Lemon's announcement, Fox News announced it was parting ways with primetime host Tucker Carlson. A long-time fixture of the network, Lemon was most recently a co-host of CNN's This Morning programme. But he landed in hot water earlier this year after comments he made about Republican presidential hopeful Nikki Haley, a former UN ambassador and governor of South Carolina. Ms Haley was not ""in her prime"", Lemon said in February, a remark widely decried as sexist. ""When a woman is considered to be in her prime - in her 20s, 30s and maybe her 40s,"" he said. ""I'm just saying what the facts are - Google it,"" he added, in response to objections from his female co-hosts, Poppy Harlow and Kaitlan Collins. Lemon issued a statement on the same day saying he regretted his ""inartful and irrelevant"" comments. He also apologised to the newsroom and agreed to partake in ""mandatory training"" to address the incident. But the remarks sparked widespread criticism, including from actress Michelle Yeoh, 60, who appeared to reference the comments in her Oscar's acceptance speech last month, saying: ""Ladies, don't let anybody tell you you're ever past your prime."" In a tweet on Monday, Ms Haley appeared to address the firing, calling it a ""great day for women everywhere"" adding ""#StillInMyPrime"". Lemon's reputation was further clouded by a report from Variety earlier in April, which detailed accusations of misogynistic behaviour toward his CNN colleagues. He called a producer fat to her face, Variety reported, mocked and mimicked one colleague and allegedly sent threatening texts to another. A representative for Lemon denied the reports. Lemon has also faced controversy last autumn for saying that the US men's soccer team should be paid more than the women's, saying that the men were ""more interesting to watch"". The 57-year-old had appeared on CNN on Monday during the morning programme as normal, before reports of his dismissal were publicised later that day. ""After 17 years at CNN I would have thought someone in management would have had the decency to tell me directly,"" Lemon wrote on Twitter. ""At no time was I ever given any indication that I would not be able to continue to do the work I have loved at the network."" He continued: ""It is clear that there are larger issues at play."" The network did not elaborate on the reason for his dismissal. But in a second statement issued on Monday afternoon, it called Lemon's description of events ""inaccurate"", saying he had been given an opportunity to meet with management. Lemon has hired entertainment lawyer Bryan Freedman to address his contract with CNN, which was signed to last until 2026, the New York Times reported, citing sources familiar with the deal. CNN This Morning will continue with Lemon's former co-hosts, Ms Harlow and Ms Collins, the network said. Lemon came to CNN in 2006 after working for a local NBC station in Chicago. For over eight years, he hosted the primetime show Don Lemon Tonight. He left the slot to help launch CNN This Morning last November alongside Ms Harlow and Ms Collins. After Lemon's comments about Ms Haley, CNN producers discovered guests did not want to appear on the show with Lemon, the New York Times reported. The show has struggled with ratings in recent months, lagging behind Fox's Fox & Friends and MSNBC's Morning Joe. In a post on his social media site Truth Social on Monday, former President Donald Trump referred to Lemon as the ""dumbest man on television"". He did not comment on Tucker Carlson's firing. ",685,world,2023-04-24T23:33:41.000Z,https://www.bbc.com/news/world-us-canada-65380349
Julie Chavez Rodriguez: Five facts about Biden's 2024 campaign manager," US President Joe Biden is gearing up to formally declare that he will seek re-election and his campaign-in-waiting now has its leader. Senior White House adviser Julie Chavez Rodriguez, 45, will serve as the president's 2024 campaign manager, US media reported on Sunday. Mr Biden, 80, has delayed formally announcing his candidacy but may do so as soon as this week. Here is what you need to know about the woman in charge of his latest campaign. Ms Rodriguez is the granddaughter of the famed labour leader Cesar Chavez and labour activist Helen Fabela Chavez. Cesar Chavez, a Mexican-American civil-rights activist who fought to improve working and living conditions for farm workers in the 1960s and 1970s, is an icon within organised labour and leftist circles. Since Mr Biden's first day as president, he has proudly displayed a bronze bust of Chavez on his desk in the Oval Office. The bust was personally lent to him by Chavez's son Paul. Last month, First Lady Jill Biden and Ms Rodriguez also planted a commemorative Cesar Chavez Rose in the White House Rose Garden. Ms Rodriguez has often described being an activist from a very young age. Raised in California's Central Valley and educated at the University of California, Berkeley, she attended rallies and did community outreach as a child, continuing her grandfather's fight for farm labourers. According to the New York Times, Ms Rodriguez was once arrested while distributing fliers about the dangers of pesticides at a protest outside a local supermarket. She was nine years old at the time. ""I was exposed to organising at such an early age, both as a skill set but also as an ethos,"" she told Bustle magazine in 2020. After Cesar Chavez founded the United Farm Workers labour union in 1962, its rallying cry became ""Si se puede"" - loosely translated in English to ""Yes we can"". That phrase became one of Barack Obama's main slogans in his 2008 campaign for president. After eight years working as the programme director at her grandfather's namesake foundation, Ms Rodriguez made her first foray into Washington politics during the Obama administration. She first served in the US Department of the Interior before rising through the White House's office of public engagement and later becoming a special assistant to President Obama. Mr Obama is not the only top Democrat Ms Rodriguez has worked for. In late 2016, she became state director for Kamala Harris' campaign for the open US Senate seat in California. And when Ms Harris launched her 2020 bid for president, Ms Rodriguez served as the campaign's national political director and later as a travelling chief of staff. Concerns have been raised about Mr Biden's advanced age - and Ms Harris, as vice-president, remains the Democrat most likely to succeed him. Ms Rodriguez has worked for Joe Biden since 2020. She first served as a senior adviser overseeing Latino voter outreach during his presidential campaign, then was appointed as the director of the White House's office of intergovernmental affairs. Ahead of the 2022 midterms, she was promoted as a senior adviser to the president - making her the highest-ranking Latina in the building. It comes at a time when some Democrats have expressed concern that the party is losing support with Hispanic voters in several key states. Ms Rodriguez was chosen for the role of campaign manager over Jen O'Malley Dillon, who led Mr Biden's successful 2020 campaign and now serves as his deputy chief of staff. She also beat Mr Biden's sister, Valerie Biden Owens, who managed his previous political campaigns. ",596,world,2023-04-24T21:38:11.000Z,https://www.bbc.com/news/world-us-canada-65372527
Kenya starvation cult: The unbearable stench of mass graves," In the middle of a forest not far from Kenya's coast, piles of fresh earth topped with crucifixes await the attention of forensic experts. About 14 mass graves have so far been dug up and Hussein Khalid has spent the past four days watching people exhume dozens of bodies. ""The stench is unbearable,"" he tells the BBC. The dead - now numbering more than 70 - are thought to have been members of the Good News International Church. It is believed they were persuaded to starve themselves in order to reach heaven before what they were told was going to be the end of the world. Mr Khalid runs the rights organisation Haki Africa, which took the authorities to the grave sites at the end of last week after being tipped off by some locals. The place is ""quite hidden"" inside Shakahola forest and he says that he and his team needed to cut back shrubs and bushes in order to drive there. Thirty-nine bodies have been exhumed so far but the police say that 58 have died in all as some who were rescued succumbed while being treated. The final count could be much higher as the Red Cross has said that said 112 people have been reported missing. Mr Khalid estimates that there are around 60 mass grave sites in the area and only a fifth of those have been examined. Police say that 29 survivors have been found so far, but it seems that not all of them wanted to be rescued, so convinced they were about what they were told about the end of the world. On Sunday, Mr Khalid came across a woman in her late 20s ""looking extremely frail"" with sunken eyes. But she did not want to be helped. ""When we tried to administer first aid to give her sips of water with glucose with a spoon, she completely refused. She sealed her mouth shut and she was signifying that she doesn't want any help,"" Mr Khalid says, adding that the woman was now being treated in hospital. He also came across a man in his 40s who was able to talk. ""He said he didn't need any saving, and that he was in his senses and he knows what he's doing and he should be left alone. He even called us enemies of him going to heaven."" That man has also been taken to hospital. Victor Kaudo from the Malindi Community Human Rights Centre, which is helping exhume the bodies, says he thinks there are about 150 bodies. He said his organisation had been contacted by a whistleblower who wanted help rescuing his three children. ""It was quite unfortunate because we only rescued one whom we found in a house, tied with a rope,"" he told the BBC. ""And this kid we believe to be six years of age. But his sister and brother were already dead and they had been buried the previous day before we got there."" Beyond the forest itself, there is shock in the country over how dozens of people could have willingly starved themselves to death. Kenya is a profoundly religious country with 85% of the population identifying as Christian. President William Ruto, who is a devout man himself, has described the head of the Good News International Church, Pastor Makenzie Nthenge, as someone who did ""not belong to any religion"". Interior Minister Kithure Kindiki has called what happened a ""massacre"". Last month Mr Nthenge was charged in connection with the deaths of two children whose parents had joined his church. He was released on bail, but he is now back in police custody. The speaker of the Senate, Amason Kingi, asked how ""evil of such an astounding magnitude [could] take place without being detected"". There is also the question of why someone would starve themself. Theologian and psychologist Dr James Kipsang Barngetuny told the BBC that there was a problem in Kenya with the ""mushrooming"" of lots of small churches, which are not properly regulated. He said that unscrupulous leaders are able to brainwash people and take advantage of their desire to find a solution to their problems. Back in the forest, Mr Khalid has been told that there is a place deeper inside where people gathered to pray and he has urged the authorities to step up a search-and-rescue operation in the forest, which covers some 800 acres (325 hectares). Local people are beginning to come to the grave sites to tell the authorities about relatives who are missing. One man told Mr Khalid that his three sons, aged 21, 17 and 14, had been taken by his brother to join the church. He feared that they were all now dead. ",786,world,2023-04-24T21:26:25.000Z,https://www.bbc.com/news/world-africa-65374093
