,country,count,alpha_3
0,China,27,CHN
1,Australia,11,AUS
2,Ukraine,10,UKR
3,Mexico,9,MEX
4,Argentina,7,ARG
5,Sudan,6,SDN
6,Japan,5,JPN
7,India,4,IND
8,Israel,4,ISR
9,Georgia,4,GEO
10,Jordan,4,JOR
11,Germany,3,DEU
12,Kenya,3,KEN
13,Afghanistan,3,AFG
14,Brazil,3,BRA
15,Ireland,2,IRL
16,Bahrain,2,BHR
17,Jersey,2,JEY
18,Ecuador,2,ECU
19,Yemen,2,YEM
20,Poland,2,POL
21,Spain,2,ESP
22,Switzerland,1,CHE
23,Canada,1,CAN
24,Vanuatu,1,VUT
25,Thailand,1,THA
26,Greenland,1,GRL
27,Cuba,1,CUB
28,Antarctica,1,ATA
29,France,1,FRA
30,Lebanon,1,LBN
31,Hungary,1,HUN
32,Nepal,1,NPL
33,Pakistan,1,PAK
34,Nicaragua,1,NIC
35,Indonesia,1,IDN
